date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
12/26,2330,富邦證券,9600,2044,48,1996,9.6,1,buy
12/26,2330,中國信託,6160,130,434,-304,1.46,1,sell
12/26,2330,元富,5920,1478,121,1357,6.53,2,buy
12/26,2330,國泰-敦南,8888,113,395,-282,1.36,2,sell
12/26,2330,群益金鼎,9100,1557,231,1326,6.38,3,buy
12/26,2330,凱基-雙和,0039003200300043,0,271,-271,1.3,3,sell
12/26,2330,永豐金證券,0039004100300030,1605,577,1028,4.94,4,buy
12/26,2330,永豐金-匯立,0039004100380031,22,256,-234,1.13,4,sell
12/26,2330,新加坡商瑞銀,1650,1132,266,866,4.16,5,buy
12/26,2330,陽信-石牌,8711,0,206,-206,0.99,5,sell
12/26,2330,美林,1440,944,172,772,3.71,6,buy
12/26,2330,國票證券,7790,17,215,-198,0.95,6,sell
12/26,2330,國泰證券,8880,673,40,633,3.04,7,buy
12/26,2330,元大-復北,9872,17,175,-158,0.76,7,sell
12/26,2330,大和國泰,8890,725,196,529,2.54,8,buy
12/26,2330,摩根大通,8440,253,398,-145,0.7,8,sell
12/26,2330,元大證券,9800,1149,701,448,2.15,9,buy
12/26,2330,新光,8560,20,151,-131,0.63,9,sell
12/26,2330,台灣摩根士丹利,1470,510,67,443,2.13,10,buy
12/26,2330,國泰-館前,0038003800380041,17,140,-123,0.59,10,sell
12/26,2330,法銀巴黎,8900,319,6,313,1.51,11,buy
12/26,2330,玉山證券,8840,11,123,-112,0.54,11,sell
12/26,2330,凱基,9200,370,74,296,1.42,12,buy
12/26,2330,富邦-台北,9623,15,121,-106,0.51,12,sell
12/26,2330,凱基-台北,9268,815,520,295,1.42,13,buy
12/26,2330,玉山-台南,8847,1,99,-98,0.47,13,sell
12/26,2330,國票-敦北法人,0037003700390063,309,17,292,1.4,14,buy
12/26,2330,元大-大同,0039003800390047,1,98,-97,0.47,14,sell
12/26,2330,統一,5850,476,206,270,1.3,15,buy
12/26,2330,元大-新竹經國,9859,1,98,-97,0.47,15,sell
12/26,2317,富邦證券,9600,3276,24,3252,11.25,1,buy
12/26,2317,群益金鼎,9100,5,6553,-6548,22.64,1,sell
12/26,2317,台灣摩根士丹利,1470,2221,195,2026,7.01,2,buy
12/26,2317,兆豐-城中,0037003000300057,36,881,-845,2.92,2,sell
